category,address,name,getName,getType,accessType,size,autodetectedSize,getSize,getVrom,sectionType,isDefined,isUserDeclared,isAutogenerated,isMaybeString,referenceCounter,overlayCategory,unknownSegment,isGot,isGotGlobal,isGotLocal
symbol,0x4072A0,None,.L004072A0,@branchlabel,None,None,None,0x4,0x72A0,.text,True,False,True,False,2,None,False,False,False,False
symbol,0x4072EC,None,.L004072EC,@branchlabel,None,None,None,0x4,0x72EC,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x407358,None,.L00407358,@branchlabel,None,None,None,0x4,0x7358,.text,True,False,True,False,2,None,False,False,False,False
symbol,0x4073CC,None,.L004073CC,@branchlabel,None,None,None,0x4,0x73CC,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x407438,None,.L00407438,@branchlabel,None,None,None,0x4,0x7438,.text,True,False,True,False,2,None,False,False,False,False
symbol,0x407510,None,.L00407510,@branchlabel,None,None,None,0x4,0x7510,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x407548,None,.L00407548,@branchlabel,None,None,None,0x4,0x7548,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x40757C,None,.L0040757C,@branchlabel,None,None,None,0x4,0x757C,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x4075DC,None,.L004075DC,@branchlabel,None,None,None,0x4,0x75DC,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x407624,None,.L00407624,@branchlabel,None,None,None,0x4,0x7624,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x407674,None,.L00407674,@branchlabel,None,None,None,0x4,0x7674,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x4076C4,None,.L004076C4,@branchlabel,None,None,None,0x4,0x76C4,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x407714,None,.L00407714,@branchlabel,None,None,None,0x4,0x7714,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x40774C,None,.L0040774C,@branchlabel,None,None,None,0x4,0x774C,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x407784,None,.L00407784,@branchlabel,None,None,None,0x4,0x7784,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x407798,None,.L00407798,@branchlabel,None,None,None,0x4,0x7798,.text,True,False,True,False,9,None,False,False,False,False
symbol,0x4077C4,None,.L004077C4,@branchlabel,None,None,None,0x4,0x77C4,.text,True,False,True,False,3,None,False,False,False,False
symbol,0x4077DC,None,.L004077DC,@branchlabel,None,None,None,0x4,0x77DC,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x4077F4,None,.L004077F4,@branchlabel,None,None,None,0x4,0x77F4,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x407858,None,.L00407858,@branchlabel,None,None,None,0x4,0x7858,.text,True,False,True,False,1,None,False,False,False,False
