category,address,name,getName,getType,accessType,size,autodetectedSize,getSize,getVrom,sectionType,isDefined,isUserDeclared,isAutogenerated,isMaybeString,referenceCounter,overlayCategory,unknownSegment,isGot,isGotGlobal,isGotLocal
symbol,0x49378C,None,.L0049378C,@branchlabel,None,None,None,0x4,0x9378C,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x4937A8,None,.L004937A8,@branchlabel,None,None,None,0x4,0x937A8,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x4937BC,None,.L004937BC,@branchlabel,None,None,None,0x4,0x937BC,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x4937C8,None,.L004937C8,@branchlabel,None,None,None,0x4,0x937C8,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x4937CC,None,.L004937CC,@branchlabel,None,None,None,0x4,0x937CC,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x4937F4,None,.L004937F4,@branchlabel,None,None,None,0x4,0x937F4,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x493824,None,.L00493824,@branchlabel,None,None,None,0x4,0x93824,.text,True,False,True,False,2,None,False,False,False,False
symbol,0x493884,None,.L00493884,@branchlabel,None,None,None,0x4,0x93884,.text,True,False,True,False,2,None,False,False,False,False
symbol,0x4938B0,None,.L004938B0,@branchlabel,None,None,None,0x4,0x938B0,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x4938C8,None,.L004938C8,@branchlabel,None,None,None,0x4,0x938C8,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x493920,None,.L00493920,@branchlabel,None,None,None,0x4,0x93920,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x493974,None,.L00493974,@branchlabel,None,None,None,0x4,0x93974,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x4939A0,None,.L004939A0,@branchlabel,None,None,None,0x4,0x939A0,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x493A34,None,.L00493A34,@branchlabel,None,None,None,0x4,0x93A34,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x493A94,None,.L00493A94,@branchlabel,None,None,None,0x4,0x93A94,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x493AF4,None,.L00493AF4,@branchlabel,None,None,None,0x4,0x93AF4,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x493BC0,None,.L00493BC0,@branchlabel,None,None,None,0x4,0x93BC0,.text,True,False,True,False,2,None,False,False,False,False
symbol,0x493BE0,None,.L00493BE0,@branchlabel,None,None,None,0x4,0x93BE0,.text,True,False,True,False,3,None,False,False,False,False
symbol,0x493C38,None,.L00493C38,@branchlabel,None,None,None,0x4,0x93C38,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x493C8C,None,.L00493C8C,@branchlabel,None,None,None,0x4,0x93C8C,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x493CB8,None,.L00493CB8,@branchlabel,None,None,None,0x4,0x93CB8,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x493D4C,None,.L00493D4C,@branchlabel,None,None,None,0x4,0x93D4C,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x493D74,None,.L00493D74,@branchlabel,None,None,None,0x4,0x93D74,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x493DC8,None,.L00493DC8,@branchlabel,None,None,None,0x4,0x93DC8,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x493E08,None,.L00493E08,@branchlabel,None,None,None,0x4,0x93E08,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x493EA8,None,.L00493EA8,@branchlabel,None,None,None,0x4,0x93EA8,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x493ECC,None,.L00493ECC,@branchlabel,None,None,None,0x4,0x93ECC,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x493F00,None,.L00493F00,@branchlabel,None,None,None,0x4,0x93F00,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x493F08,None,.L00493F08,@branchlabel,None,None,None,0x4,0x93F08,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x493F20,None,.L00493F20,@branchlabel,None,None,None,0x4,0x93F20,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x493F2C,None,.L00493F2C,@branchlabel,None,None,None,0x4,0x93F2C,.text,True,False,True,False,1,None,False,False,False,False
