category,address,name,getName,getNameEnd,userDeclaredType,autodetectedType,getType,accessType,userDeclaredSize,autodetectedSize,getSize,getVrom,sectionType,isDefined,isUserDeclared,isAutogenerated,isMaybeString,referenceCounter,overlayCategory,unknownSegment,isGot,isGotGlobal,isGotLocal,gotIndex,firstLoAccess,isAutogeneratedPad,isElfNotype
symbol,0x405E8C,None,.L00405E8C,None,None,SymbolSpecialType.branchlabel,@branchlabel,None,None,None,0x4,0x5E8C,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x405EE4,None,.L00405EE4,None,None,SymbolSpecialType.branchlabel,@branchlabel,None,None,None,0x4,0x5EE4,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x405F1C,None,.L00405F1C,None,None,SymbolSpecialType.branchlabel,@branchlabel,None,None,None,0x4,0x5F1C,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x405F7C,None,.L00405F7C,None,None,SymbolSpecialType.branchlabel,@branchlabel,None,None,None,0x4,0x5F7C,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x405F98,None,.L00405F98,None,None,SymbolSpecialType.branchlabel,@branchlabel,None,None,None,0x4,0x5F98,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x405FEC,None,.L00405FEC,None,None,SymbolSpecialType.branchlabel,@branchlabel,None,None,None,0x4,0x5FEC,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x405FF0,None,.L00405FF0,None,None,SymbolSpecialType.branchlabel,@branchlabel,None,None,None,0x4,0x5FF0,.text,True,False,True,False,3,None,False,False,False,False,None,None,False,False
symbol,0x406024,None,.L00406024,None,None,SymbolSpecialType.branchlabel,@branchlabel,None,None,None,0x4,0x6024,.text,True,False,True,False,2,None,False,False,False,False,None,None,False,False
symbol,0x406034,None,func_00406034,None,None,SymbolSpecialType.function,@function,None,None,0x1C4,0x1C4,0x6034,.text,True,False,True,False,1,None,False,True,False,True,None,1432,False,False
symbol,0x406098,None,.L00406098,None,None,SymbolSpecialType.branchlabel,@branchlabel,None,None,None,0x4,0x6098,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x4060BC,None,.L004060BC,None,None,SymbolSpecialType.branchlabel,@branchlabel,None,None,None,0x4,0x60BC,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x406128,None,.L00406128,None,None,SymbolSpecialType.branchlabel,@branchlabel,None,None,None,0x4,0x6128,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x40612C,None,.L0040612C,None,None,SymbolSpecialType.branchlabel,@branchlabel,None,None,None,0x4,0x612C,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x406140,None,.L00406140,None,None,SymbolSpecialType.branchlabel,@branchlabel,None,None,None,0x4,0x6140,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
symbol,0x4061B8,None,.L004061B8,None,None,SymbolSpecialType.branchlabel,@branchlabel,None,None,None,0x4,0x61B8,.text,True,False,True,False,1,None,False,False,False,False,None,None,False,False
