category,address,name,getName,getNameEnd,userDeclaredType,autodetectedType,getType,accessType,userDeclaredSize,autodetectedSize,getSize,getVrom,sectionType,isDefined,isUserDeclared,isAutogenerated,isMaybeString,referenceCounter,overlayCategory,unknownSegment,isGot,isGotGlobal,isGotLocal,gotIndex,firstLoAccess,isAutogeneratedPad,isElfNotype
symbol,0x-07F80,None,D_-07F80,None,None,None,,WORD,None,None,0x1,0x0,,False,False,True,False,2,None,True,False,False,False,None,44,False,False
symbol,0x-07F0C,None,D_-07F0C,None,None,None,,WORD,None,None,0x1,0x0,,False,False,True,False,1,None,True,False,False,False,None,240,False,False
symbol,0x-07F00,None,D_-07F00,None,None,None,,WORD,None,None,0x1,0x0,,False,False,True,False,1,None,True,False,False,False,None,140,False,False
symbol,0x-07ECC,None,D_-07ECC,None,None,None,,WORD,None,None,0x1,0x0,,False,False,True,False,1,None,True,False,False,False,None,204,False,False
symbol,0x-07D24,None,D_-07D24,None,None,None,,WORD,None,None,0x1,0x0,,False,False,True,False,1,None,True,False,False,False,None,100,False,False
symbol,0x-07C3C,None,D_-07C3C,None,None,None,,WORD,None,None,0x1,0x0,,False,False,True,False,2,None,True,False,False,False,None,72,False,False
symbol,0x-07C38,None,D_-07C38,None,None,None,,WORD,None,None,0x1,0x0,,False,False,True,False,2,None,True,False,False,False,None,92,False,False
symbol,0x50292DE9,None,.L50292DE9,None,None,SymbolSpecialType.jumptablelabel,@jumptablelabel,None,None,None,0x1,0x0,.text,False,False,True,False,0,None,True,False,False,False,None,None,False,False
symbol,0x7C626D25,None,.L7C626D25,None,None,SymbolSpecialType.jumptablelabel,@jumptablelabel,None,None,None,0x1,0x0,.text,False,False,True,False,0,None,True,False,False,False,None,None,False,False
