offset,vram,.dummy
000134,00400134,interp

offset,vram,.dummy
00A1F8,0040A1F8,MIPS.stubs

offset,vram,.text
00A5E0,0040A5E0,ugen_00A5E0
00A710,0040A710,binfile
00ADA0,0040ADA0,ugen_00ADA0
00BBD0,0040BBD0,aio
00E0B0,0040E0B0,build
013F50,00413F50,emit
01AF50,0041AF50,pad_01AF50
01AF70,0041AF70,emit_dw
020810,00420810,entry_exit
023150,00423150,pad_041820
0231F0,004231F0,eval
0349E0,004349E0,fold
0350E0,004350E0,frame_offset
035180,00435180,ugen_035180
035190,00435190,swap
0351C0,004351C0,labelopt
0366B0,004366B0,lit_mgr
036F40,00436F40,loop_header
038C40,00438C40,opt
038E00,00438E00,parm_mgr
039850,00439850,reg_mgr
03D650,0043D650,report
03DA90,0043DA90,symbol
040C10,00440C10,temp_mgr
041820,00441820,pad_041820
041860,00441860,translate
049130,00449130,tree_print 
049F50,00449F50,tree_utils
04B120,0044B120,u_tree
04B290,0044B290,ugen
04E9D0,0044E9D0,val_util
04F430,0044F430,ugen_04F430
0551F0,004551F0,ugen_0551F0
0564C0,004564C0,ugen_0564C0
056C80,00456C80,ugen_056C80
058530,00458530,ugen_058530
059620,00459620,ugen_059620
05A810,0045A810,ugen_05A810
05ACF0,0045ACF0,ugen_05ACF0
05B180,0045B180,ugen_05B180
05B240,0045B240,ugen_05B240
05BB90,0045BB90,ugen_05BB90
05DC90,0045DC90,ugen_05DC90
060B10,00460B10,ugen_060B10
060BE0,00460BE0,ugen_060BE0
060F50,00460F50,ugen_060F50
064020,00464020,ugen_064020
0667E0,004667E0,ugen_0667E0
066AC0,00466AC0,ugen_066AC0
066BB0,00466BB0,ugen_066BB0
066EC0,00466EC0,ugen_066EC0
066FC0,00466FC0,ugen_066FC0
067110,00467110,ugen_067110
067230,00467230,ugen_067230

offset,vram,.dummy
067C00,00467C00,init

offset,vram,.rodata
068000,10008000,binfile
0681E0,100081E0,ugen_0681E0
068520,10008520,aio
068BD0,10008BD0,build
069380,10009380,emit
069690,10009690,emit_dw
069830,10009830,entry_exit
069980,10009980,ugen_069980
06A5F0,1000A5F0,ugen_06A5F0
06A9B0,1000A9B0,ugen_06A9B0
06B040,1000B040,ugen_06B040
06B170,1000B170,lit_mgr
06B2D0,1000B2D0,loop_header
06B750,1000B750,opt
06B770,1000B770,ugen_06B770
06C4F0,1000C4F0,report
06C5E0,1000C5E0,symbol
06D270,1000D270,temp_mgr
06D630,1000D630,translate
06E240,1000E240,tree_print
06E300,1000E300,tree_utils
06E570,1000E570,ugen
06F510,1000F510,val_util
06F780,1000F780,ugen_06F780
06F9E0,1000F9E0,ugen_06F9E0
06FB50,1000FB50,ugen_06FB50
06FBE0,1000FBE0,ugen_06FBE0
06FE30,1000FE30,ugen_06FE30
06FEC0,1000FEC0,ugen_06FEC0
070110,10010110,ugen_070110
070210,10010210,ugen_070210
070320,10010320,ugen_070320
070340,10010340,ugen_070340
0705B0,100105B0,ugen_0705B0
0705D0,100105D0,ugen_0705D0
070B70,10010B70,ugen_070B70
070CC0,10010CC0,ugen_070CC0
070D10,10010D10,ugen_070D10
070D80,10010D80,ugen_070D80

offset,vram,.data
070E60,10010E60,aio
072570,10012570,emit
073640,10013640,ugen_073640
0761F0,100161F0,loop_header
0762D0,100162D0,ugen_0762D0
076730,10016730,report
076770,10016770,symbol
076780,10016780,ugen_076780
0769C0,100169C0,tree_print
076F60,10016F60,tree_utils
076FB0,10016FB0,u_tree
076FD0,10016FD0,val_util
077060,10017060,ugen_077060

offset,vram,.dummy
077A60,10017A60,got

offset,vram,.bss
078630,10018630,binfile
0786C0,100186C0,ugen_100186C0

08366C,1002366C,.end
