category,address,name,getName,getType,accessType,size,autodetectedSize,getSize,getVrom,sectionType,isDefined,isUserDeclared,isAutogenerated,isMaybeString,referenceCounter,overlayCategory,unknownSegment,isGot,isGotGlobal,isGotLocal
symbol,0x406610,__start,__start,@function,None,0x11C,0x11C,0x11C,0x6610,.text,True,True,False,False,0,None,False,False,False,False
symbol,0x40661C,None,.L0040661C,@branchlabel,None,None,None,0x4,0x661C,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x406670,None,.L00406670,@branchlabel,None,None,None,0x4,0x6670,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x40672C,_mcount,_mcount,@function,None,0xC,0x14,0xC,0x672C,.text,True,True,False,False,0,None,False,False,False,False
symbol,0x406740,main,main,@function,None,0x13008,0x13008,0x13008,0x6740,.text,True,True,False,False,0,None,False,False,True,False
symbol,0x4067AC,None,.L004067AC,@branchlabel,None,None,None,0x4,0x67AC,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x4067C0,None,.L004067C0,@branchlabel,None,None,None,0x4,0x67C0,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x4067D0,None,.L004067D0,@branchlabel,None,None,None,0x4,0x67D0,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x406834,None,.L00406834,@branchlabel,None,None,None,0x4,0x6834,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x406CE4,None,.L00406CE4,@branchlabel,None,None,None,0x4,0x6CE4,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x406D24,None,.L00406D24,@branchlabel,None,None,None,0x4,0x6D24,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x406D50,None,.L00406D50,@branchlabel,None,None,None,0x4,0x6D50,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x406DA4,None,.L00406DA4,@branchlabel,None,None,None,0x4,0x6DA4,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x406DD4,None,.L00406DD4,@branchlabel,None,None,None,0x4,0x6DD4,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x406E00,None,.L00406E00,@branchlabel,None,None,None,0x4,0x6E00,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x406E64,None,.L00406E64,@branchlabel,None,None,None,0x4,0x6E64,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x406EB8,None,.L00406EB8,@branchlabel,None,None,None,0x4,0x6EB8,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x406F0C,None,.L00406F0C,@branchlabel,None,None,None,0x4,0x6F0C,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x406F60,None,.L00406F60,@branchlabel,None,None,None,0x4,0x6F60,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x406F98,None,.L00406F98,@branchlabel,None,None,None,0x4,0x6F98,.text,True,False,True,False,6,None,False,False,False,False
symbol,0x406FD4,None,.L00406FD4,@branchlabel,None,None,None,0x4,0x6FD4,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x406FD8,None,.L00406FD8,@branchlabel,None,None,None,0x4,0x6FD8,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x407068,None,.L00407068,@branchlabel,None,None,None,0x4,0x7068,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x4070D0,None,.L004070D0,@branchlabel,None,None,None,0x4,0x70D0,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x407138,None,.L00407138,@branchlabel,None,None,None,0x4,0x7138,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x4071B4,None,.L004071B4,@branchlabel,None,None,None,0x4,0x71B4,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x407238,None,.L00407238,@branchlabel,None,None,None,0x4,0x7238,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x4072A0,None,.L004072A0,@branchlabel,None,None,None,0x4,0x72A0,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x407308,None,.L00407308,@branchlabel,None,None,None,0x4,0x7308,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x407388,None,.L00407388,@branchlabel,None,None,None,0x4,0x7388,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x40742C,None,.L0040742C,@branchlabel,None,None,None,0x4,0x742C,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x4074B4,None,.L004074B4,@branchlabel,None,None,None,0x4,0x74B4,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x407534,None,.L00407534,@branchlabel,None,None,None,0x4,0x7534,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x4075BC,None,.L004075BC,@branchlabel,None,None,None,0x4,0x75BC,.text,True,False,True,False,12,None,False,False,False,False
symbol,0x407604,None,.L00407604,@branchlabel,None,None,None,0x4,0x7604,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x407658,None,.L00407658,@branchlabel,None,None,None,0x4,0x7658,.text,True,False,True,False,2,None,False,False,False,False
symbol,0x407698,None,.L00407698,@branchlabel,None,None,None,0x4,0x7698,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x4076EC,None,.L004076EC,@branchlabel,None,None,None,0x4,0x76EC,.text,True,False,True,False,2,None,False,False,False,False
symbol,0x407758,None,.L00407758,@branchlabel,None,None,None,0x4,0x7758,.text,True,False,True,False,2,None,False,False,False,False
symbol,0x407774,None,.L00407774,@branchlabel,None,None,None,0x4,0x7774,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x4077A8,None,.L004077A8,@branchlabel,None,None,None,0x4,0x77A8,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x407804,None,.L00407804,@branchlabel,None,None,None,0x4,0x7804,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x407858,None,.L00407858,@branchlabel,None,None,None,0x4,0x7858,.text,True,False,True,False,2,None,False,False,False,False
symbol,0x407918,None,.L00407918,@branchlabel,None,None,None,0x4,0x7918,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x407940,None,.L00407940,@branchlabel,None,None,None,0x4,0x7940,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x407970,None,.L00407970,@branchlabel,None,None,None,0x4,0x7970,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x4079CC,None,.L004079CC,@branchlabel,None,None,None,0x4,0x79CC,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x407A18,None,.L00407A18,@branchlabel,None,None,None,0x4,0x7A18,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x407A78,None,.L00407A78,@branchlabel,None,None,None,0x4,0x7A78,.text,True,False,True,False,1,None,False,False,False,False
symbol,0x407ACC,None,.L00407ACC,@branchlabel,None,None,None,0x4,0x7ACC,.text,True,False,True,False,1,None,False,False,False,False
